Neuron,Type,Location,Description,Neurotransmitter/Neuropeptide,Innexin Expression,Receptor expression,Function
PVDR,Sensory neuron,Tail; lumbar ganglion,"Born postembryonically (see V lineage). PVDL/R have extensive branching pattern in adult animals (Hobert O. & Treinin M., pers. comm). In larval stages 3 major processes are discerned; one anteriorly directed, one posteriorly directed and one ventrally directed. These processes show short extensions and branches along their length. As the animal ages, this branching pattern is elaborated extensively and covers most of the body.","Glutamate. Expresses VGluT, EAT-4 (Lee et al., 1999). Express neuropeptide-like protein, NLP-11 (Nathoo et al., 2001). ",,"Express MEC-10 (degenerin) which comprise part of a mechanosensory transduction channel (Huang and Chalfie, 1994), MEC-9 which is suggested to provide an extracellular attachment point for the mechanosensory channels in touch cells (Du et al., 1996) and MEC-6 which is part of the degenerin/epithelial Na+ channel complex (Chelur et al., 2002). Express TRPV channel protein OSM-9 (Colbert et al., 1997). Express a splice variant of the tyramine receptor SER-2 (Tsalik et al., 2003, Rex and Komuniecki, 2002). Express alpha subunits of a nicotinic acetylcholine receptor, DEG-3 and DES-2 (Treinin and Chalfie, 1995; Treinin et al., 1998). Express glutamate receptor subunit, GLR-4 (Brockie et al., 2001).","Putative stretch-sensing mechanosensor. PVD mediates a response to harsh mechanical stimuli (Way and Chalfie, 1989). Animals in which PVD neurons are laser-ablated fail to respond to harsh touch to the central region of the body but can can respond to harsh head and tail tap. PVD is possibly not involved in the circuit that mediates suppression of pumping in response to a touch stimulus in adults (Keane and Avery, 2003)"
PVM,Sensory neuron,Lateral. Left side of the posterior half of the body.,"Posterior ventral microtubule cell, generated postembryonically (AVM and PVM are generated at about 9 hours after hatching at 20°C, about 19 hours after egg deposition.). In the L1 stage, PVM extends a process that first grows ventrally along a commissure on the left side of the posterior body and then turns anteriorly when it reaches the ventral nerve cord (VNC). Within VNC the PVM process runs anteriorly on the ventral side adjacent to the cuticle. PVM is an unbranched unipolar neuron.",,,"Expresses G protein-linked acetylcholine receptor, GAR-1 (Lee et al., 2000). Expresses MEC-2 (stomatin-like), MEC-4 (degenerin), MEC-10 (degenerin) which comprise part of a mechanosensory transduction channel (Huang and Chalfie, 1994; Lai et al., 1996). Expresses MEC-9 which is suggested to provide an extracellular attachment point for the mechanosensory channels in touch cells (Du et al., 1996) and MEC-6 which is part of the degenerin/epithelial Na+ channel complex (Chelur et al., 2002). Expresses UNC-8, a DEG/ENaC family member homologous to subunits of a candidate mechanically gated ion channel (Tavernarakis et al., 1997).","PVM is ultrastructurally very similar to the other touch cells, and its differentiation is controlled by the same genetic pathway that controls differentiation of the other five touch receptor neurons. However, PVM does not mediate a locomotory response to gentle touch (Chalfie and Sulston, 1981) and does not appear to have a critical role in touch sensitivity (for discussion see Kaplan and Driscoll, 1997; Goodman, 2006). It is postulated to be a stretch receptor."
PVNL,Interneuron/motorneuron,Tail,"Interneuron/motor neuron, post. vent. cord, few synapses",,,,
PVNR,Interneuron/motorneuron,Tail,"Interneuron/motor neuron, post. vent. cord, few synapses",,,,
PVPL,Interneuron,Pre-anal ganglion,"Interneuron. Differences in connectivity observed between hermaphrodites and males. In hermaphrodites PVP neurites were observed to make branches around the vulva suggesting they may form synapses with egg-laying muscles (WBG, 1999). The PVPL/PVPR processes cross over in the pre-anal ganglion and then grow forward on the opposite side of the cord to the nerve ring. The PVPL process invariably crosses in front of the PVPR process. PVPL and PVPR somas are nearly opposite one another in the embryo and early larval stages. However, in the adult, this symmetry and order is lost and cells are situated almost linearly within PAG (Durbin, 1987).",,,,"Along with PVQL, PVPR pioneers the left side ventral cord and this function appears to be a joint action of these two processes. When PVPR precursor is ablated in the embryo, PVQL and AVKR growth cones migrate towards the right side. (Durbin, 1987; Antebi et al., 1997)."
PVPR,Interneuron,Pre-anal ganglion,"Interneuron. Differences in connectivity observed between hermaphrodites and males. In hermaphrodites PVP neurites were observed to make branches around the vulva suggesting they may form synapses with egg-laying muscles (WBG, 1999). The PVPL/PVPR processes cross over in the pre-anal ganglion and then grow forward on the opposite side of the cord to the nerve ring. The PVPL process invariably crosses in front of the PVPR process. PVPL and PVPR somas are nearly opposite one another in the embryo and early larval stages. However, in the adult, this symmetry and order is lost and cells are situated almost linearly within PAG (Durbin, 1987).",,,,"Along with PVQL, PVPR pioneers the left side ventral cord and this function appears to be a joint action of these two processes. When PVPR precursor is ablated in the embryo, PVQL and AVKR growth cones migrate towards the right side. (Durbin, 1987; Antebi et al., 1997)."
PVQL,Interneuron,Left lumbar ganglia,"Interneurons, project along ventral cord to ring",,,"Expresses glutamate receptor subunits, GLR-1 and GLR-5 (Brockie et al., 2001). Expresses G protein-coupled serpentine receptor, SRA-6 (Troemel et al., 1995). Expresses the dopamine receptor DOP-1 (Tsalik et al., 2003). Expresses the serotonin receptor, SER-1 (Dernovici et al, 2007; Carnell et al, 2005.). Suggested to express GABA-A/glycine receptor-like protein GGR-1 (Fujiwara et al., 1996).","Along with PVPR, PVQL pioneers the left hand ventral cord. This function appears to be a joint action of these two processes (Durbin, 1987)."
PVQR,Interneuron,Right lumbar ganglia,"Interneuron, projects along ventral cord to ring",,,"Expresses glutamate receptor subunits, GLR-1 and GLR-5 (Brockie et al., 2001). Expresses G protein-coupled serpentine receptor, SRA-6 (Troemel et al., 1995). Expresses the dopamine receptor DOP-1 (Tsalik et al., 2003). Expresses the serotonin receptor, SER-1 (Dernovici et al, 2007; Carnell et al, 2005.). Suggested to express GABA-A/glycine receptor-like protein GGR-1 (Fujiwara et al., 1996).","Along with PVPR, PVQL pioneers the left hand ventral cord. This function appears to be a joint action of these two processes (Durbin, 1987)."
PVR,Interneuron,Right lumbar ganglia,"Interneuron, projects along ventral cord to ring",,,,
PVT,Interneuron,Pre-anal ganglion,"Interneuron, projects along ventral cord to ring. Hermaphrodites and males exhibit some differences in PVT connectivity.",,,"Expresses a splice variant of the tyramine receptor SER-2 (variable expression) (Tsalik et al., 2003). Expresses the serotonin receptors, SER-1 (Dernovici et al, 2007; Carnell et al, 2005) and SER-4 (variable expression) (Tsalik et al., 2003).","Midline neuroblast, secretes UNC-6, serves as a guidepost neuron to guide growing axons from the lumbar ganglia in the posteriormost region of the ventral cord. When PVT is ablated embryonically, these axons follow multiple routes to enter the ventral cord instead of making tight bundles (Antebi et al., 1997; Ren et al., 1999). Postembryonically, PVT functions to keep the ventral cord fascicles intact. Early larval ablation of PVT induces axons of AVKL/R, PVQL/R, HSNL/R and RMEV to aberrantly cross the ventral midline (Aurelio et al., 2002)."
PVWL,Interneuron,Left lumbar ganglion,"Interneuron, posterior ventral cord, few synapses",,,,
PVWR,Interneuron,Right lumbar ganglion,"Interneuron, posterior ventral cord, few synapses",,,,
RIAL,Interneuron,Head,These neurons receive synaptic inputs from AIY and AIZ interneurons and densely innervate head motor neurons SMD and RMD.,,,"Expresses the serotonin receptor, SER-1 (Dernovici et al, 2007; Carnell et al, 2005)","- Functions in thermotaxis: A mutation that impairs the function RIA neurons or laser ablation of RIA cause athermotactic or cryophilic behavior. However, killing RIA neurons has no effect on chemotaxis (Iino and Yoshida, 2009; Tanizawa et al., 2006; Mori and Ohshima 1995). In the original two-drive (thermophilic vs cryophilic) model of thermotaxis, RIA is suggested to integrate signals processed in the thermotaxis neural circuit and emit outputs to downstream neurons (Mori and Ohshima, 1995; Tanizawa et al, 2006). Multiple transmissions including EAT-4-dependent glutamate from RIA are involved in communicating processed information to downstream neurons, thereby generating ultimate thermotactic outputs (Ohnishi et al, 2011). Although it is not clear as to which neurons downstream of RIA are main component neurons in the circuit, RIA is heavily connected presynaptically to SMD or RMD head motor neurons that regulate turning behavior, suggesting SMD and RMD control turn frequency and run duration depending on the thermal information transmitted by RIA (Ohnishi et al, 2011; Zariwala et al, 2003; White et al, 1986; Gray et al, 2005). - Functions in locomotion: Killing RIA slightly decreases reversals during local search and dispersal (Gray et al., 2005)."
RIAR,Interneuron,Head,These neurons receive synaptic inputs from AIY and AIZ interneurons and densely innervate head motor neurons SMD and RMD.,,,"Expresses the serotonin receptor, SER-1 (Dernovici et al, 2007; Carnell et al, 2005)","- Functions in thermotaxis: A mutation that impairs the function RIA neurons or laser ablation of RIA cause athermotactic or cryophilic behavior. However, killing RIA neurons has no effect on chemotaxis (Iino and Yoshida, 2009; Tanizawa et al., 2006; Mori and Ohshima 1995). In the original two-drive (thermophilic vs cryophilic) model of thermotaxis, RIA is suggested to integrate signals processed in the thermotaxis neural circuit and emit outputs to downstream neurons (Mori and Ohshima, 1995; Tanizawa et al, 2006). Multiple transmissions including EAT-4-dependent glutamate from RIA are involved in communicating processed information to downstream neurons, thereby generating ultimate thermotactic outputs (Ohnishi et al, 2011). Although it is not clear as to which neurons downstream of RIA are main component neurons in the circuit, RIA is heavily connected presynaptically to SMD or RMD head motor neurons that regulate turning behavior, suggesting SMD and RMD control turn frequency and run duration depending on the thermal information transmitted by RIA (Ohnishi et al, 2011; Zariwala et al, 2003; White et al, 1986; Gray et al, 2005). - Functions in locomotion: Killing RIA slightly decreases reversals during local search and dispersal (Gray et al., 2005)."
RIBL,Interneuron,Head,Ring interneuron,,,,
RIBR,Interneuron,Head,Ring interneuron,,,,
RICL,Interneuron,Head,Ring interneuron,"Octopamine (Alkema et al., 2005)",,"Expresses the serotonin receptor, SER-1 (Dernovici et al, 2007; Carnell et al, 2005.)",
RICR,Interneuron,Head,Ring interneuron,"Octopamine (Alkema et al., 2005)",,"Expresses the serotonin receptor, SER-1 (Dernovici et al, 2007; Carnell et al, 2005.)",
RID,Interneuron,Head,"Ring interneuron, projects along dorsal cord",,,,
RIFL,Interneuron,Head,Ring interneuron,,,,
RIFR,Interneuron,Head,Ring interneuron,,,,
RIGL,Interneuron,Head,Ring interneuron,,,,
RIGR,Interneuron,Head,Ring interneuron,,,,
RIH,Interneuron,Head,Ring interneuron,,,,
RIML,Ring motor neuron,Head,Ring motor neuron,,,,
RIMR,Ring motor neuron,Head,Ring motor neuron,,,,
RIPL,Ring/Pharynx interneuron,Head,"Ring/pharynx interneuron, only direct connection between pharynx and ring",,,,
RIPR,Ring/Pharynx interneuron,Head,"Ring/pharynx interneuron, only direct connection between pharynx and ring",,,,
RIR,Ring interneuron,Head,Ring interneuron,,,,
RIS,Ring interneuron,"Ventral ganglion, right side",Ring interneuron,"GABA (Eastman et al., 1999).",,"Expresses glutamate receptor subunit, GLR-1 (Hart et al., 1995). Expresses the serotonin receptor SER-4 (Tsalik et al., 2003). Expresses the dopamine receptor DOP-1 (Tsalik et al., 2003).",
RIVL,Interneuron,Head,Ring interneuron,,,,"Functions in locomotion: After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later as reversal and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005). Downstream of AIB and AIY, motor neuron sdefine specific aspects of reversal and turn frequency, amplitude, and directionality. SMD motor neurons define the steep amplitude of omega turns, RIV motor neurons specify the ventral bias of turns that follow a reversal, and SMB motor neurons set the amplitude of sinusoidal movement."
RIVR,Interneuron,Head,Ring interneuron,,,,"Functions in locomotion: After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later as reversal and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005). Downstream of AIB and AIY, motor neuron sdefine specific aspects of reversal and turn frequency, amplitude, and directionality. SMD motor neurons define the steep amplitude of omega turns, RIV motor neurons specify the ventral bias of turns that follow a reversal, and SMB motor neurons set the amplitude of sinusoidal movement."
RMDDL,Ring motor neuron,Head,"Ring motor neuron/interneuron, many synapses",,,,
RMDDR,Ring motor neuron,Head,"Ring motor neuron/interneuron, many synapses",,,,
RMDL,Ring motor neuron,Head,"Ring motor neuron/interneuron, many synapses",,,,
RMDR,Ring motor neuron,Head,"Ring motor neuron/interneuron, many synapses",,,,
RMDVL,Ring motor neuron,Head,"Ring motor neuron/interneuron, many synapses",,,,
RMDVR,Ring motor neuron,Head,"Ring motor neuron/interneuron, many synapses",,,,
RMED,Motor neuron,Head,Ring motor neuron,"GABA (Eastman et al., 1999).",,"RMED and RMV express glutamate-gated chloride channel subunit, AVR-15 (Dent et al., 1997). RMEL and RMER express glutamate receptor subunit, GLR-1 (Hart et al., 1995). Express a splice variant of the tyramine receptor SER-2 (Hobert O., pers. comm.).","Suggested to be the pioneers of the nerve ring (Antebi et al., 1997)."
RMEL,Motor neuron,Head,Ring motor neuron,"GABA (Eastman et al., 1999).",,"RMED and RMV express glutamate-gated chloride channel subunit, AVR-15 (Dent et al., 1997). RMEL and RMER express glutamate receptor subunit, GLR-1 (Hart et al., 1995). Express a splice variant of the tyramine receptor SER-2 (Hobert O., pers. comm.).","Suggested to be the pioneers of the nerve ring (Antebi et al., 1997)."
RMER,Motor neuron,Head,Ring motor neuron,"GABA (Eastman et al., 1999).",,"RMED and RMV express glutamate-gated chloride channel subunit, AVR-15 (Dent et al., 1997). RMEL and RMER express glutamate receptor subunit, GLR-1 (Hart et al., 1995). Express a splice variant of the tyramine receptor SER-2 (Hobert O., pers. comm.).","Suggested to be the pioneers of the nerve ring (Antebi et al., 1997)."
RMEV,Motor neuron,Head,Ring motor neuron,"GABA (Eastman et al., 1999).",,"RMED and RMV express glutamate-gated chloride channel subunit, AVR-15 (Dent et al., 1997). RMEL and RMER express glutamate receptor subunit, GLR-1 (Hart et al., 1995). Express a splice variant of the tyramine receptor SER-2 (Hobert O., pers. comm.).","Suggested to be the pioneers of the nerve ring (Antebi et al., 1997)."
RMFL,Motor neuron,Head,Ring motor neuron/interneuron,,,,
RMFR,Motor neuron,Head,Ring motor neuron/interneuron,,,,
RMGL,Interneuron,Head,Ring interneuron,,,,
RMGR,Interneuron,Head,Ring interneuron,,,,
RMHL,Motor neuron,Head,Ring motor neuron/interneuron,,,,
RMHR,Motor neuron,Head,Ring motor neuron/interneuron,,,,
SAADL,Interneuron,Head,"Ring interneuron, anteriorly projecting process that runs sublaterally",,,,
SAADR,Interneuron,Head,"Ring interneuron, anteriorly projecting process that runs sublaterally",,,,
SAAVL,Interneuron,Head,"Ring interneuron, anteriorly projecting process that runs sublaterally",,,,
SAAVR,Interneuron,Head,"Ring interneuron, anteriorly projecting process that runs sublaterally",,,,
SABD,Interneuron,Head,"Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",,,,
SABVL,Interneuron,Head,"Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",,,,
SABVR,Interneuron,Head,"Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",,,,
SDQL,Interneuron,Head,"Post. lateral interneuron, process projects into ring",,,,
SDQR,Interneuron,Head,"Ant. lateral interneuron, process projects into ring",,,,
SIADL,Interneuron,Head,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",,,,
SIADR,Interneuron,Head,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",,,,
SIAVL,Interneuron,Head,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",,,,
SIAVR,Interneuron,Head,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",,,,
SIBDL,Interneuron,Head,Similar to SIA,,,,
SIBDR,Interneuron,Head,Similar to SIA,,,,
SIBVL,Interneuron,Head,Similar to SIA,,,,
SIBVR,Interneuron,Head,Similar to SIA,,,,
SMBDL,Motor neuron/interneuron,Head,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",,,,"Functions in locomotion: After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later as reversal and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005). Downstream of AIB and AIY, motor neurons define specific aspects of reversal and turn frequency, amplitude, and directionality. SMD motor neurons define the steep amplitude of omega turns, RIV motor neurons specify the ventral bias of turns that follow a reversal, and SMB motor neurons set the amplitude of sinusoidal movement. "
SMBDR,Motor neuron/interneuron,Head,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",,,,"Functions in locomotion: After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later as reversal and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005). Downstream of AIB and AIY, motor neurons define specific aspects of reversal and turn frequency, amplitude, and directionality. SMD motor neurons define the steep amplitude of omega turns, RIV motor neurons specify the ventral bias of turns that follow a reversal, and SMB motor neurons set the amplitude of sinusoidal movement. "
SMBVL,Motor neuron/interneuron,Head,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",,,,"Functions in locomotion: After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later as reversal and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005). Downstream of AIB and AIY, motor neurons define specific aspects of reversal and turn frequency, amplitude, and directionality. SMD motor neurons define the steep amplitude of omega turns, RIV motor neurons specify the ventral bias of turns that follow a reversal, and SMB motor neurons set the amplitude of sinusoidal movement. "
SMBVR,Motor neuron/interneuron,Head,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",,,,"Functions in locomotion: After animals are removed from bacterial food, they initiate a local search behavior consisting of reversals and deep omega-shaped turns. This is followed by dispersal ~30 min later as reversal and turns are suppressed. Local search behavior is triggered by AWC olfactory neurons, ASK gustatory neurons, and AIB interneurons while dispersal is promoted by ASI gustatory neurons and AIY interneurons (Gray et al., 2005). Downstream of AIB and AIY, motor neurons define specific aspects of reversal and turn frequency, amplitude, and directionality. SMD motor neurons define the steep amplitude of omega turns, RIV motor neurons specify the ventral bias of turns that follow a reversal, and SMB motor neurons set the amplitude of sinusoidal movement. "
SMDDL,Motor neuron/interneuron,Head,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",,,,
SMDDR,Motor neuron/interneuron,Head,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",,,,
SMDVL,Motor neuron/interneuron,Head,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",,,,
SMDVR,Motor neuron/interneuron,Head,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",,,,
URADL,Motor neuron,Head,Ring motor neuron,,,,
URADR,Motor neuron,Head,Ring motor neuron,,,,
URAVL,Motor neuron,Head,Ring motor neuron,,,,
URAVR,Motor neuron,Head,Ring motor neuron,,,,
URBL,Interneuron,Head,"Neuron, presynaptic in ring, ending in head",,,,
URBR,Interneuron,Head,"Neuron, presynaptic in ring, ending in head",,,,
URXL,Sensory neuron,Head,"Nonciliated endings in head, associated with CEPD in embryo. Like AQR and PQR, URX are directly exposed to the pseudocoelomic fluid and are proposed to monitor the contents of this fluid.","- FLP-8; FMRFamide-like peptide - FLP-10; FMRFamide-like peptide - FLP-11; FMRFamide-like peptide - FLP-19; FMRFamide-like peptide(Li and Kim, 2008)","None yet reported, although described to have gap junctions in adult animals (MoW) ","- GCY-1; transmembrane receptor guanylate cyclase - GCY-25; transmembrane receptor guanylate cyclase - GCY-32; soluble guanylate cyclase - GCY-34; soluble guanylate cyclase - GCY-35; soluble guanylate cyclase - GCY-36; soluble guanylate cyclase- GCY-37; soluble guanylate cyclase- NPR-1; receptor for flp-18- and flp-21-encoded peptides- SRA-10; G protein-coupled seven transmembrane receptor(Wormbase; Cheung et al., 2004; Troemel et al., 1995)","Function in aerotaxis: When placed in an O2 gradient, C. elegans shows a strong behavioral preference for ~5–10% (intermediate) O2 levels and avoids both hypoxia (<7%) and hyperoxia (21%). Animals navigate the O2 gradients by O2-induced changes in locomotion speed, reversal and turning behavior  (Cheung et al., 2005; Gray et al., 2004). This preference for intermediate O2 levels (Gray et al., 2004), may work to allow oxidative metabolism but avoid oxidative stress (Lee and Atkinson, 1977). The intermediate O2 preference also promotes aggregation behavior, possibly since aggregating C. elegans locally deplete O2 to preferred levels (Gray et al., 2004; Rogers et al., 2006). The rise in O2 levels detected by animals leaving a group induces reversal (backing) and turning. Conversely, the fall in O2 encountered when entering a group suppresses reversal, turning, and rapid locomotion, allowing the animal to stay with the group. Soluble guanylate cyclase (sGC, e.g. GCY-35 and GCY-36)-expressing oxygen-sensing neurons (URX, AQR, PQR, SDQ, BDU, ALN, and PLN) mediate the avoidance of high O2 levels (Zimmer et al, 2009). URX appears to be the most important member of this group, since its activity is uniquely important for aggregation (Coates and de Bono, 2002), while for aerotactic behavior in an O2 gradient, URX is redundant with other sGC-expressing neurons (Chang et al., 2006). The locations of URX in the head and PQR in the tail facilitate high O2 avoidance by the animal accelerating forward without changing direction of movement when its tail/PQR encounters high O2 and by reversal and turning when its head/URX encounters high O2 (Busch et al., 2012). Two post-synaptic targets of URX, AUA and RMG, seem to be involved in this O2-induced behavioral response. The strength of the O2 response is regulated by food, genotype, and an animal’s prior O2 exposure. The lab standard wild-type C. elegans strain (N2) with high activity (due to a gain-of-function mutation) of the neuropeptide receptor NPR-1 (215V) is indifferent to high O2 when food is present, whereas C. elegans isolates with low activity of NPR-1 (215F) avoid high O2 in the presence of food, and therefore, aggregate (Gray et al., 2004; Cheung et al., 2005; Rogers et al., 2006). Since all strains avoid high O2 when food is absent, NPR-1 may be an internal food sensor important for food-related regulation of aggregation (i.e., regulation of social behavior on food) (Chang et al., 2006). Cultivation conditions also regulate O2 preference: animals cultivated in hypoxia migrate to lower O2 levels, and avoid high O2 regardless of food or NPR-1 genotype (Cheung et al., 2005; Chang and Bargmann, 2008). The sensory neurons ASH, ADL, and ADF also promote avoidance of high O2 levels (through function of TRP-related channel subunits OCR-2 and OSM-9 and the transmembrane protein ODR-4 in nociceptive ASH and ADL, and serotonin production by ADF), but these cells are not needed after animals are cultivated in hypoxia (Chang et al., 2006; Chang and Bargmann; 2008; Rogers et al., 2006)."
URXR,Sensory neuron,Head,"Nonciliated endings in head, associated with CEPD in embryo. Like AQR and PQR, URX are directly exposed to the pseudocoelomic fluid and are proposed to monitor the contents of this fluid.","- FLP-8; FMRFamide-like peptide - FLP-10; FMRFamide-like peptide - FLP-11; FMRFamide-like peptide - FLP-19; FMRFamide-like peptide(Li and Kim, 2008)","None yet reported, although described to have gap junctions in adult animals (MoW) ","- GCY-1; transmembrane receptor guanylate cyclase - GCY-25; transmembrane receptor guanylate cyclase - GCY-32; soluble guanylate cyclase - GCY-34; soluble guanylate cyclase - GCY-35; soluble guanylate cyclase - GCY-36; soluble guanylate cyclase- GCY-37; soluble guanylate cyclase- NPR-1; receptor for flp-18- and flp-21-encoded peptides- SRA-10; G protein-coupled seven transmembrane receptor(Wormbase; Cheung et al., 2004; Troemel et al., 1995)","Function in aerotaxis: When placed in an O2 gradient, C. elegans shows a strong behavioral preference for ~5–10% (intermediate) O2 levels and avoids both hypoxia (<7%) and hyperoxia (21%). Animals navigate the O2 gradients by O2-induced changes in locomotion speed, reversal and turning behavior  (Cheung et al., 2005; Gray et al., 2004). This preference for intermediate O2 levels (Gray et al., 2004), may work to allow oxidative metabolism but avoid oxidative stress (Lee and Atkinson, 1977). The intermediate O2 preference also promotes aggregation behavior, possibly since aggregating C. elegans locally deplete O2 to preferred levels (Gray et al., 2004; Rogers et al., 2006). The rise in O2 levels detected by animals leaving a group induces reversal (backing) and turning. Conversely, the fall in O2 encountered when entering a group suppresses reversal, turning, and rapid locomotion, allowing the animal to stay with the group. Soluble guanylate cyclase (sGC, e.g. GCY-35 and GCY-36)-expressing oxygen-sensing neurons (URX, AQR, PQR, SDQ, BDU, ALN, and PLN) mediate the avoidance of high O2 levels (Zimmer et al, 2009). URX appears to be the most important member of this group, since its activity is uniquely important for aggregation (Coates and de Bono, 2002), while for aerotactic behavior in an O2 gradient, URX is redundant with other sGC-expressing neurons (Chang et al., 2006). The locations of URX in the head and PQR in the tail facilitate high O2 avoidance by the animal accelerating forward without changing direction of movement when its tail/PQR encounters high O2 and by reversal and turning when its head/URX encounters high O2 (Busch et al., 2012). Two post-synaptic targets of URX, AUA and RMG, seem to be involved in this O2-induced behavioral response. The strength of the O2 response is regulated by food, genotype, and an animal’s prior O2 exposure. The lab standard wild-type C. elegans strain (N2) with high activity (due to a gain-of-function mutation) of the neuropeptide receptor NPR-1 (215V) is indifferent to high O2 when food is present, whereas C. elegans isolates with low activity of NPR-1 (215F) avoid high O2 in the presence of food, and therefore, aggregate (Gray et al., 2004; Cheung et al., 2005; Rogers et al., 2006). Since all strains avoid high O2 when food is absent, NPR-1 may be an internal food sensor important for food-related regulation of aggregation (i.e., regulation of social behavior on food) (Chang et al., 2006). Cultivation conditions also regulate O2 preference: animals cultivated in hypoxia migrate to lower O2 levels, and avoid high O2 regardless of food or NPR-1 genotype (Cheung et al., 2005; Chang and Bargmann, 2008). The sensory neurons ASH, ADL, and ADF also promote avoidance of high O2 levels (through function of TRP-related channel subunits OCR-2 and OSM-9 and the transmembrane protein ODR-4 in nociceptive ASH and ADL, and serotonin production by ADF), but these cells are not needed after animals are cultivated in hypoxia (Chang et al., 2006; Chang and Bargmann; 2008; Rogers et al., 2006)."
URYDL,Sensory neuron,Head,"Neuron, presynaptic in ring, ending in head",,,,"Expresses (inconsistently) the serotonin receptor, SER-1 (Dernovici et al, 2007; Carnell et al, 2005.)"
URYDR,Sensory neuron,Head,"Neuron, presynaptic in ring, ending in head",,,,"Expresses (inconsistently) the serotonin receptor, SER-1 (Dernovici et al, 2007; Carnell et al, 2005.)"
URYVL,Sensory neuron,Head,"Neuron, presynaptic in ring, ending in head",,,,"Expresses (inconsistently) the serotonin receptor, SER-1 (Dernovici et al, 2007; Carnell et al, 2005.)"
URYVR,Sensory neuron,Head,"Neuron, presynaptic in ring, ending in head",,,,"Expresses (inconsistently) the serotonin receptor, SER-1 (Dernovici et al, 2007; Carnell et al, 2005.)"
VA1,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VA2,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VA3,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VA4,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VA5,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VA6,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VA7,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VA8,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VA9,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VA10,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VA11,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
VA12,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles, but also interneuron in preanal ganglion",,,,
VB1,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles, also interneuron in ring",,,,
VB2,Motor neuron,Body (ventral nerve cord),"Ventral cord motor neuron, innervates vent. body muscles",,,,
